User Platform Action Facts Platform Action
Assigned To-Do Item
Cloned Program
Created AddToQueueElement Element
Created AssessmentMetricPrerequisite Prerequisite
Created AssessmentResultPrerequisite Prerequisite
Created BlockquoteElement Element
Created ChampionConnectElement Element
Created CohortConnectElement Element
Created ConfigureChampionDashboardElement Element
Created ConfigureUserDashboardElement Element
Created ContentNode Node
Created CreateSpaceElement Element
Created DisplayChildrenElement Element
Created EparachuteElement Element
Created FormElement Element
Created FormReferenceElement Element
Created HeaderElement Element
Created HorizontalRuleElement Element
Created ImageElement Element
Created IntervalSinceStartPrerequisite Prerequisite
Created JoinGroupSpaceElement Element
Created ListElement Element
Created MomentElement Element
Created ParagraphElement Element
Created PlatformLinkElement Element
Created Program
Created QuestionElement Element
Created ReferenceNode Node
Created ResultElement Element
Created ToDoListElement Element
Created UnlockDatePrerequisite Prerequisite
Created UserImageElement Element
Created UserNoteElement Element
Created VideoElement Element
Created WebLinkElement Element
Deleted Element
Deleted Node
Deleted Prerequisite
Deleted Program
Unpublished Program
Updated AddToQueueElement Element
Updated AssessmentMetricPrerequisite Prerequisite
Updated BlockquoteElement Element
Updated ChampionConnectElement Element
Updated CohortConnectElement Element
Updated ContentNode Node
Updated CreateSpaceElement Element
Updated DisplayChildrenElement Element
Updated EparachuteElement Element
Updated FormElement Element
Updated FormReferenceElement Element
Updated HeaderElement Element
Updated HorizontalRuleElement Element
Updated ImageElement Element
Updated IntervalSinceStartPrerequisite Prerequisite
Updated JoinGroupSpaceElement Element
Updated ListElement Element
Updated MomentElement Element
Updated Node
Updated ParagraphElement Element
Updated PlatformLinkElement Element
Updated Prerequisite
Updated Program
Updated QuestionElement Element
Updated ReferenceNode Node
Updated ResultElement Element
Updated ToDoListElement Element
Updated UnlockDatePrerequisite Prerequisite
Updated UserImageElement Element
Updated UserNoteElement Element
Updated VideoElement Element
Updated WebLinkElement Element
