platform_action,group,mode,end_user_allowed
Account Created,Account Created,,TRUE
Added Champion Analytics Widget,,Champion.Others,FALSE
Added Champion Assessment Analytics Widget,,Champion.Others,FALSE
Added Champion Cohort Overview Widget,,Champion.Others,FALSE
Added Champion Program Analytics Widget,,Champion.Others,FALSE
Added To-Do Item from Content,Used to-do list,Invest.for.Self.Us,TRUE
Added User Program Progress Widget,Added Widget,Invest.for.Self.Us,TRUE
Added User Space Widget,Added Widget,Invest.for.Self.Us,TRUE
Answered Assessment Item,Answered Assessment Item,Receive.Value,TRUE
Assigned To-Do Item,Used to-do list,Champion.Others,TRUE
Became Champion Member,,Champion.Others,FALSE
Champion Membership Invitation Accepted,Connected to Champion,Invest.for.Self.Us,TRUE
Champion Membership Invitation Declined,Invitation Declined,Disengage,TRUE
Cloned Program,,Champion.Others,FALSE
Commented on Champion Group Space Post,Commented,Invest.for.Self.Us,TRUE
Commented on Gloofie Space Post,Commented,Invest.for.Self.Us,TRUE
Commented on Group Space Post,Commented,Invest.for.Self.Us,TRUE
Commented on Private Space Post,Commented,Invest.for.Self.Us,TRUE
Commented on Shared Space Post,Commented,Invest.for.Self.Us,TRUE
Commented on Timeline Post,Commented,Invest.for.Self.Us,TRUE
Commented on Unactivated Space Post,Commented,Invest.for.Self.Us,TRUE
Commented on User Group Space Post,Commented,Invest.for.Self.Us,TRUE
Completed To-Do Item,Used to-do list,Invest.for.Self.Us,TRUE
Connected to Champion,Connected to Champion,Invest.for.Self.Us,TRUE
Created a New Dashboard,Created,Invest.for.Self.Us,TRUE
Created AddToQueueElement Element,,,FALSE
Created AssessmentMetricPrerequisite Prerequisite,,Champion.Others,FALSE
Created AssessmentResultPrerequisite Prerequisite,,Champion.Others,FALSE
Created BlockquoteElement Element,,Champion.Others,FALSE
Created ChampionConnectElement Element,,Champion.Others,FALSE
Created CohortConnectElement Element,,Champion.Others,FALSE
Created ConfigureChampionDashboardElement Element,,Champion.Others,FALSE
Created ConfigureUserDashboardElement Element,,Champion.Others,FALSE
Created ContentNode Node,,Champion.Others,FALSE
Created CreateSpaceElement Element,,Champion.Others,FALSE
Created DisplayChildrenElement Element,,Champion.Others,FALSE
Created EparachuteElement Element,,Champion.Others,FALSE
Created FormElement Element,,Champion.Others,FALSE
Created FormReferenceElement Element,,,FALSE
Created Gloofie Space,Created,Invest.for.Self.Us,TRUE
Created Group Space,Created,Invest.for.Self.Us,NA
Created HeaderElement Element,,Champion.Others,FALSE
Created HorizontalRuleElement Element,,Champion.Others,FALSE
Created ImageElement Element,,Champion.Others,FALSE
Created IntervalSinceStartPrerequisite Prerequisite,,Champion.Others,FALSE
Created JoinGroupSpaceElement Element,,Champion.Others,FALSE
Created ListElement Element,,Champion.Others,FALSE
Created MomentElement Element,,Champion.Others,FALSE
Created Note in Content,Created,Invest.for.Self.Us,TRUE
Created ParagraphElement Element,,Champion.Others,FALSE
Created PlatformLinkElement Element,,Champion.Others,FALSE
Created Private Collection,Created,Champion.Others,TRUE
Created Private Moment,Created,Champion.Others,TRUE
Created Private Space,Created,Invest.for.Self.Us,TRUE
