filter_type,filter
email,stadia.cc
email,kffdn.org
email,pacden.com
email,pacificdentalservices.com
email,cfacorp.com
email,cfafranchisee.com
email,chick-fil-a.com
email,uchealth.org
email,urbanministries.com
email,relishtraymedia.com
user_id,1
user_id,1
user_id,1
user_id,23
user_id,1
user_id,1
user_id,7
user_id,1
user_id,1
user_id,12
user_id,6
user_id,12
user_id,12
user_id,12
user_id,12
user_id,17
user_id,4
user_id,4
user_id,16
user_id,28
user_id,22
user_id,27665
user_id,21
user_id,30
user_id,31
user_id,33
user_id,19
user_id,19
user_id,29
user_id,15
user_id,3
user_id,2
user_id,8
user_id,2
user_id,2
user_id,3
user_id,3
user_id,3
user_id,3
user_id,3
user_id,3
user_id,3
user_id,13
user_id,20
user_id,515
user_id,27
user_id,13
user_id,3
user_id,27
user_id,3
user_id,10
user_id,8
user_id,25
user_id,9
user_id,8
user_id,8
user_id,3
user_id,2
user_id,10
user_id,3
user_id,3
user_id,3
user_id,9
user_id,9
user_id,9
user_id,16752
user_id,24
user_id,10
user_id,18
user_id,5
user_id,3
user_id,61
user_id,32
user_id,32
user_id,5
user_id,7
user_id,5
user_id,5
user_id,5
user_id,5
user_id,5
user_id,36
user_id,5
user_id,79807
user_id,74
user_id,5
user_id,41315
user_id,1251
user_id,8
user_id,11043
user_id,11043
user_id,396
user_id,36
user_id,14
user_id,18
user_id,495
user_id,432
user_id,1295
user_id,17073
user_id,6
user_id,10
user_id,36
user_id,62656
user_id,11
user_id,32
user_id,451
user_id,32
user_id,34
user_id,24
user_id,27
user_id,30
user_id,34
user_id,37
user_id,51
user_id,58
user_id,299
user_id,301
user_id,814
user_id,885
user_id,970
user_id,1224
user_id,1227
user_id,1443
user_id,2491
user_id,2990
user_id,11496
user_id,17265
user_id,20865
user_id,30388
user_id,30904
user_id,31946
user_id,81255
